,Product_Name,Price,Review,Number_Of_Reviews,Category
178, Acer Aspire TC-895 I8007,"999,00",4.5 , 4 ,Desktops
179, MSI MEG Trident X 10SD-867MYS,"1.999,00",4.5 , 2 ,Desktops
180, Lenovo Legion T7 34IMZ5 90Q8003KMH,"2.499,00",5 , 4 ,Desktops
181, Lenovo ThinkCentre M720q - 10T700AUMB - Azerty,"1.079,00",4.5 , 1 ,Desktops
182, Medion Erazer Engineer E10 MD34698,"699,00",4.5 , 7 ,Desktops
183, Lenovo IdeaCentre 5 14ARE05 90Q30036MH,"749,00",0 , 0 ,Desktops
184, HP OMEN GT12-0480nd,"1.699,00",5 , 2 ,Desktops
185, Acer Aspire C27-962 I5428 BE All-in-One,"                    999,00",4.5 , 1 ,Desktops
186," Apple iMac 27"" (2020) 32GB/512GB Intel Core i5 AZERTY","3.049,00",4.5 ,14 ,Desktops
187, HP Prodesk 400 G6 MT - 7EM16EA Azerty,"1.099,00",4 , 1 ,Desktops
188, Lenovo Legion T530-28ICB 90L300Q8MH,"1.199,00",4.5 ,11 ,Desktops
189, Lenovo ThinkCentre M75q - 11A4000HMB Azerty,"649,00",4.5 , 1 ,Desktops
190, MSI Creator P100X 10SE-211MYS,"3.299,00",5 , 3 ,Desktops
191, Lenovo ideacentre 310S-08IGM 90HX003DMH,"349,00",4.5 ,29 ,Desktops
192, Medion Akoya E23403-i7-256-1F16 All-in-One Azerty,"999,00",0 , 0 ,Desktops
193," Apple iMac 27"" (2020) 32GB/1TB Intel Core i5 AZERTY","3.299,00",4.5 ,14 ,Desktops
194, HP Pavilion 24-k0019nb All-in-One Azerty,"1.499,00",0 , 0 ,Desktops
195, HP ENVY 32-a1006nb All-in-One Azerty,"2.499,00",5 , 1 ,Desktops
196, Acer Aspire TC-895 I5508,"699,00",4.5 , 4 ,Desktops
197, Lenovo ThinkCentre M720q - 10T700ARMB - Azerty,"599,00",4.5 , 1 ,Desktops
198, Acer Predator Orion 3000 620 I710-08G,"1.899,00",4 , 2 ,Desktops
199, Medion Akoya E23403-i5-512-F8 All-in-One Azerty,"699,00",0 , 0 ,Desktops
200, HP ENVY TE01-0325nd,"1.399,00",4.5 , 3 ,Desktops
201, HP OMEN GT12-0460nd,"1.499,00",5 , 2 ,Desktops
202," Apple iMac 27"" (2020) 16GB/1TB Intel Core i5 AZERTY","2.799,00",4.5 ,14 ,Desktops
203, MSI Cubi N 8GL-062MYS,"299,00",3.5 , 7 ,Desktops
204, Lenovo ideacentre 310S-08ASR 90G9006XMH,"349,00",4 ,15 ,Desktops
205, MSI MAG Infinite S 10SI-011MYS,"1.199,00",5 , 1 ,Desktops
206, Medion Erazer Akoya E32005,"499,00",4 , 1 ,Desktops
207, HP Pavilion Gaming TG01-1305nd,"899,00",4.5 ,36 ,Desktops
208, Medion Erazer Engineer P10 MD34702,"899,00",0 , 0 ,Desktops
209, HP OMEN GT11-0370nd,"1.249,00",4.5 , 1 ,Desktops
210," Apple Mac Mini (2020) 3,2GHz i7 32GB/512GB - 10Gbit/s Ethernet","2.414,00",4.5 ,15 ,Desktops
211, MSI MEG Infinite X 10SD-661MYS,"                    1.999,00",5 , 3 ,Desktops
212, MSI Prestige P100 9SI-061EU,"1.999,00",4.5 , 3 ,Desktops
213, MSI MAG Infinite 10SI-1053MYS,"1.199,00",0 , 0 ,Desktops
214, Lenovo ThinkCentre M720s - 10ST0081MB - Azerty,"849,00",4 , 2 ,Desktops
215, HP Pavilion TP01-0575nd,"799,00",4.5 ,46 ,Desktops
216, Acer Nitro N50-610 I9424,"1.499,00",4 , 2 ,Desktops
217, Lenovo Legion T5 28IMB05 90NC00J6MH,"1.099,00",0 , 0 ,Desktops
218, Medion Akoya E23201S-C-256F8 All-in-One,"499,00",0 , 0 ,Desktops
219, Lenovo ThinkCentre M720q - 10T700BSMB - Azerty,"829,00",4.5 , 1 ,Desktops
220, Lenovo IdeaCentre A540-24ICB F0EL00G8MB All-in-One Azerty,"849,00",0 , 0 ,Desktops
221, MSI MAG Infinite 10SI-1051MYS,"999,00",0 , 0 ,Desktops
222, Acer Nitro N50-610 I9426-JK,"                    1.099,00",4 , 2 ,Desktops
223, HP OMEN GT12-0490nd,"1.999,00",5 , 2 ,Desktops
224, HP ENVY 32-a1007nb All-in-One Azerty,"3.999,00",5 , 2 ,Desktops
225, Acer Nitro N50-610 I9422-JK,"                    1.049,00",4 , 2 ,Desktops
226, MSI MAG Codex 5 10SC-096MYS,"1.599,00",5 , 2 ,Desktops
227, Lenovo ThinkStation P330 - 30CF0032MB Azerty,"1.349,00",0 , 0 ,Desktops
228," Apple Mac Mini (2020) 3,2GHz i7 32GB/1TB - 10Gbit/s Ethernet","2.664,00",4.5 ,15 ,Desktops
229, MSI MAG Infinite S 10SA-008MYS,"949,00",5 , 1 ,Desktops
230, HP Pavilion TP01-0920nd,"599,00",4.5 ,46 ,Desktops
231, MSI MEG Trident X 10SE-868MYS,"3.499,00",4.5 , 2 ,Desktops
232, Acer Aspire TC-895 I8005,"879,00",4.5 , 4 ,Desktops
233, MSI Pro 24X 10M-015EU All-in-One,"1.099,00",4.5 , 1 ,Desktops
234, Lenovo IdeaCentre A540-24ICB F0EL00G6MB All-in-One Azerty,"929,00",0 , 0 ,Desktops
235, ConceptD 100 i76516Q,"1.499,00",5 , 1 ,Desktops
236, Lenovo ThinkCentre P330 - 30CY0026MB - Azerty,"1.349,00",0 , 0 ,Desktops
237, Lenovo Legion T5 28IMB05 90NC00J7MH,"1.499,00",0 , 0 ,Desktops
238, Lenovo Legion T5 28IMB05 90NC00JEMH,"1.299,00",0 , 0 ,Desktops
239," Apple iMac 27"" (2020) 8GB/1TB Intel Core i5 AZERTY","2.549,00",4.5 ,14 ,Desktops
240," Apple Mac Mini (2020) 3,2GHz i7 16GB/512GB - 10Gbit/s Ethernet","1.914,00",4.5 ,15 ,Desktops
241," Apple Mac Mini (2020) 3,0GHz i5 16GB/512GB - 10Gbit/s Ethernet","1.654,00",4.5 ,15 ,Desktops
242, Lenovo IdeaCentre G5-14AMR 90Q1002YMH,"                    1.299,00",0 , 0 ,Desktops
243, Acer Revo RN86 I3256,"469,00",4.5 , 4 ,Desktops
244, HP Prodesk 400 G6 SFF - 8BX86EA Azerty,"1.099,00",5 , 2 ,Desktops
245," Apple iMac 4K 21,5"" (2020) 16GB/256GB Intel Core i3 AZERTY","1.749,00",5 , 1 ,Desktops
246, Lenovo IdeaCentre A340-24ICK F0ER00CJMB All-in-One Azerty,"679,00",0 , 0 ,Desktops
247, Acer Predator Orion 3000 620 I510-02G,"1.099,00",4 , 2 ,Desktops
248," Apple iMac 21,5"" 4K (2020) 16GB/1TB Intel Core i5 AZERTY","1.949,00",5 , 1 ,Desktops
249, MSI MPG Trident A 10SI-1065MYS,"1.199,00",0 , 0 ,Desktops
250, Lenovo IdeaCentre A340-22AST F0EQ007DMB All-in-One Azerty,"529,00",5 , 1 ,Desktops
251, Acer Revo RN86 I3512,"519,00",4.5 , 4 ,Desktops
252, Acer Chromebox CXI3 I5418,"549,00",4.5 , 8 ,Desktops
253, HP Pavilion TP01-1570nd,"899,00",5 , 2 ,Desktops
254, Lenovo Legion T730-28ICO 90JF00LRMH,"2.349,00",5 , 6 ,Desktops
255, MSI Creator P100X 10SF-212MYS,"3.799,00",5 , 3 ,Desktops
256, Lenovo IdeaCentre A340-22AST F0EQ007CMB All-in-One Azerty,"399,00",4.5 , 1 ,Desktops
257, Lenovo ThinkCentre M75s - 11A9000DMB Azerty,"649,00",4 , 2 ,Desktops
258, Acer Aspire C27-962 I5624 BE All-in-One Azerty,"1.099,00",4.5 , 1 ,Desktops
259, Asus Pro D641SC-I39100030R,"549,00",4 , 2 ,Desktops
260, HP OMEN GT11-0380nd,"1.399,00",4.5 , 1 ,Desktops
261, MSI MEG Infinite X 10SE-662MYS,"2.599,00",5 , 3 ,Desktops
262, Acer Nitro N50-610 I9428,"1.649,00",4 , 2 ,Desktops
263," Apple iMac 4K 21,5"" (2020) 16GB/256GB Intel Core i7 AZERTY","2.199,00",5 , 1 ,Desktops
264, Acer Predator Orion 5000 615s I710-10GL,"1.899,00",5 , 3 ,Desktops
265, HP Pavilion Gaming TG01-1470nd,"1.499,00",4.5 ,36 ,Desktops
266," Apple iMac 4K 21,5"" (2020) 8GB/256GB Intel Core i7 AZERTY","1.949,00",5 , 1 ,Desktops
